avg_sentiment,mention_count,positive_ratio,negative_ratio,confidence,sentiment_score,ticker
0.18335969520797435,19,0.3157894736842105,0.05263157894736842,0.6798976079413765,0.18335969520797435,CYBN
0.18173428235634528,28,0.32142857142857145,0.07142857142857142,0.7435787203056472,0.18173428235634528,WWR
0.179726198121455,49,0.24489795918367346,0.10204081632653061,0.7918435128367677,0.179726198121455,KULR
0.17862062176682267,154,0.2987012987012987,0.06493506493506493,0.6723157479004427,0.17862062176682267,GPUS
0.1783862525198158,84,0.2976190476190476,0.08333333333333333,0.7143592373246238,0.1783862525198158,SIM
0.17561380744772226,49,0.2857142857142857,0.02040816326530612,0.7095796611844277,0.17561380744772226,CVM
0.17427589071440158,389,0.33161953727506427,0.16709511568123395,0.6981405202864375,0.17427589071440158,JOB
0.17330492558108532,32,0.3125,0.09375,0.7184212794527411,0.17330492558108532,ATNM
0.17246154654695758,29,0.2413793103448276,0.034482758620689655,0.7430259636763868,0.17246154654695758,NBY
0.1695494362895715,135,0.3111111111111111,0.0962962962962963,0.7220445551254131,0.1695494362895715,PMI
0.1695388785145899,19,0.21052631578947367,0.0,0.7308423926955775,0.1695388785145899,FSP
0.1679174206184235,18,0.16666666666666666,0.0,0.8569406072298685,0.1679174206184235,INUV
0.16576309053484384,8,0.25,0.125,0.726756252348423,0.16576309053484384,ECF
0.1615475212057241,10,0.3,0.0,0.7711720705032349,0.1615475212057241,MHH
0.15977087714010096,16,0.25,0.0625,0.7071561366319656,0.15977087714010096,TMQ
0.15726918753295277,105,0.2571428571428571,0.11428571428571428,0.7252755639098939,0.15726918753295277,MI
0.1542504706358061,152,0.27631578947368424,0.07236842105263158,0.707543559568493,0.1542504706358061,TOPS
0.15344574264710492,40,0.2,0.025,0.7518031299114227,0.15344574264710492,GLO
0.15318889337469596,84,0.2261904761904762,0.047619047619047616,0.694023331006368,0.15318889337469596,UEC
0.15296930169776551,18,0.2777777777777778,0.1111111111111111,0.7280551658736335,0.15296930169776551,HUSA
0.15293316697724618,19,0.21052631578947367,0.0,0.676043384953549,0.15293316697724618,AIRI
0.14633867072289727,7,0.14285714285714285,0.0,0.8637378556387765,0.14633867072289727,CTGO
0.14617156124430533,19,0.3684210526315789,0.05263157894736842,0.7246569928370024,0.14617156124430533,STXS
0.1446820438675324,164,0.2073170731707317,0.042682926829268296,0.7232612693091718,0.1446820438675324,AIM
0.1439979956726498,147,0.23809523809523808,0.06802721088435375,0.7084405730370762,0.1439979956726498,UUUU
0.139564209404377,54,0.2222222222222222,0.07407407407407407,0.7567652265230814,0.139564209404377,REI
0.13929021485496507,18,0.2222222222222222,0.05555555555555555,0.7024656931559244,0.13929021485496507,PLG
0.1376697574585481,41,0.2926829268292683,0.0975609756097561,0.7279769465690706,0.1376697574585481,LODE
0.13233001070315736,124,0.23387096774193547,0.12096774193548387,0.722649224823521,0.13233001070315736,APT
0.12993643784290604,26,0.19230769230769232,0.038461538461538464,0.7206334689488778,0.12993643784290604,GRAF
0.129802655887701,124,0.22580645161290322,0.12096774193548387,0.7184099836214897,0.129802655887701,OZ
0.12432665793428188,36,0.19444444444444445,0.05555555555555555,0.7848917668064436,0.12432665793428188,CANF
0.12013740484685488,11,0.2727272727272727,0.09090909090909091,0.6270395327698101,0.12013740484685488,FTF
0.11894644206830798,7,0.2857142857142857,0.2857142857142857,0.7834749051502773,0.11894644206830798,TOON
0.11293548836504394,7,0.14285714285714285,0.14285714285714285,0.7680031657218933,0.11293548836504394,ERC
0.11291734208540542,85,0.17647058823529413,0.047058823529411764,0.7646466756568235,0.11291734208540542,NHS
0.11263576456630113,65,0.16923076923076924,0.0,0.7626236154482915,0.11263576456630113,RVP
0.11184995973229606,69,0.18840579710144928,0.057971014492753624,0.7349678109521451,0.11184995973229606,OPTT
0.10968893758573019,15,0.13333333333333333,0.0,0.7760059416294098,0.10968893758573019,CHOW
0.10925924324868386,7,0.14285714285714285,0.0,0.8758159875869751,0.10925924324868386,ELLO
0.10850336709714689,13,0.15384615384615385,0.0,0.820592660170335,0.10850336709714689,TMP
0.10723595061845027,16,0.125,0.0,0.6424177028238773,0.10723595061845027,DDC
0.10660736581554828,5,0.2,0.0,0.6392340004444123,0.10660736581554828,WRN
0.10652118801474571,13,0.23076923076923078,0.0,0.6469375903789814,0.10652118801474571,LCTX
0.10462887422776292,9,0.1111111111111111,0.0,0.8341007497575548,0.10462887422776292,AWX
0.10299015670780637,6,0.16666666666666666,0.0,0.7806095679601034,0.10299015670780637,XPL
0.10086324303489971,370,0.21621621621621623,0.15405405405405406,0.7050257215628752,0.10086324303489971,AREN
0.09839275830988506,15,0.3333333333333333,0.13333333333333333,0.7056821664174397,0.09839275830988506,WYY
0.09729920102475528,52,0.15384615384615385,0.038461538461538464,0.7419501233559388,0.09729920102475528,LEU
0.0951510984592156,14,0.21428571428571427,0.0,0.7984471448830196,0.0951510984592156,PLAG
0.09368687136750793,8,0.25,0.125,0.7307716496288776,0.09368687136750793,EVI
0.09259635556203363,100,0.21,0.09,0.7186289694905281,0.09259635556203363,VENU
0.09219281651124285,60,0.35,0.18333333333333332,0.6514509628216426,0.09219281651124285,FURY
0.09213133366122936,144,0.16666666666666666,0.027777777777777776,0.7542467340826988,0.09213133366122936,SENS
0.09088744441469657,19,0.21052631578947367,0.15789473684210525,0.7396346314957267,0.09088744441469657,EQX
0.09027110387346494,5,0.2,0.0,0.7762109160423278,0.09027110387346494,CPHI
0.0897034651100678,5,0.2,0.0,0.7232324600219726,0.0897034651100678,NML
0.08893173724404539,46,0.13043478260869565,0.021739130434782608,0.76414620358011,0.08893173724404539,GTE
0.08866623971379024,29,0.13793103448275862,0.0,0.8316258829215477,0.08866623971379024,MYND
0.08803498402044801,99,0.18181818181818182,0.10101010101010101,0.7027426268717255,0.08803498402044801,ESP
0.08709642884178893,23,0.17391304347826086,0.17391304347826086,0.732454556485881,0.08709642884178893,UAMY
0.08696430820296727,20,0.25,0.0,0.7921785622835159,0.08696430820296727,INFU
0.08482443883282624,12,0.25,0.08333333333333333,0.6067299793163935,0.08482443883282624,NEN
0.08351100801436259,76,0.25,0.17105263157894737,0.7131565064191818,0.08351100801436259,GRO
0.08273456175033461,18,0.1111111111111111,0.05555555555555555,0.7137603892220391,0.08273456175033461,YCBD
0.08008774524635229,27,0.14814814814814814,0.0,0.8048803960835492,0.08008774524635229,DSS
0.07818397576617439,105,0.18095238095238095,0.09523809523809523,0.6987754611741929,0.07818397576617439,USAS
0.07595302360920565,7,0.14285714285714285,0.0,0.8038015876497541,0.07595302360920565,SIF
0.07293457175738415,144,0.16666666666666666,0.10416666666666667,0.712304743213786,0.07293457175738415,ZONE
0.07227723828144803,31,0.25806451612903225,0.22580645161290322,0.7234962640270111,0.07227723828144803,NCL
0.06920328807667162,210,0.20476190476190476,0.14761904761904762,0.6839207085825149,0.06920328807667162,IMO
